attack_id,name,platforms,collection_layers,description,created,modified,stix_id,url
DS0014,Pod,Containers,Container,"A single unit of shared resources within a cluster, comprised of one or more containers(Citation: Kube Kubectl)(Citation: Kube Pod)",2021-10-20T15:05:19.272Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--06bb1e05-533b-4de3-ae87-9b99910465cf,https://attack.mitre.org/datasources/DS0014
DS0032,Container,Containers,Container,A standard unit of virtualized software that packages up code and all its dependencies so the application runs quickly and reliably from one computing environment to another(Citation: Docker Docs Container),2021-10-20T15:05:19.274Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--072ec5a7-00ba-466f-9057-69751a22a967,https://attack.mitre.org/datasources/DS0032
DS0002,User Account,Containers | IaaS | Linux | SaaS | Windows | macOS | Office Suite | Identity Provider | ESXi,Cloud Control Plane | Container | Host,"A profile representing a user, device, service, or application used to authenticate and access resources",2021-10-20T15:05:19.271Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--0b4f86ed-f4ab-46a3-8ed1-175be1974da6,https://attack.mitre.org/datasources/DS0002
DS0024,Windows Registry,Windows,Host,"A Windows OS hierarchical database that stores much of the information and settings for software programs, hardware devices, user preferences, and operating-system configurations(Citation: Microsoft Registry)",2021-10-20T15:05:19.273Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--0f42a24c-e035-4f93-a91c-5f7076bd8da0,https://attack.mitre.org/datasources/DS0024
DS0012,Script,Windows | ESXi,Host,"A file or stream containing a list of commands, allowing them to be launched in sequence(Citation: Microsoft PowerShell Logging)(Citation: FireEye PowerShell Logging)(Citation: Microsoft AMSI)",2021-10-20T15:05:19.272Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--12c1e727-7fa4-49b6-af81-366ed2ce231e,https://attack.mitre.org/datasources/DS0012
DS0007,Image,IaaS,Cloud Control Plane,A single file used to deploy a virtual machine/bootable disk into an on-premise or third-party cloud environment(Citation: Microsoft Image)(Citation: Amazon AMI),2021-10-20T15:05:19.271Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--1ac0ca69-e07e-4b34-9061-e4588e146c52,https://attack.mitre.org/datasources/DS0007
DS0006,Web Credential,Linux | SaaS | Windows | macOS | Office Suite | Identity Provider,Cloud Control Plane | Host,"Credential material, such as session cookies or tokens, used to authenticate to web applications and services(Citation: Medium Authentication Tokens)(Citation: Auth0 Access Tokens)",2021-10-20T15:05:19.271Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--1e26f222-e27e-4bfa-830c-fa4b4f18b5e4,https://attack.mitre.org/datasources/DS0006
DS0023,Named Pipe,Linux | Windows | macOS,Host,Mechanisms that allow inter-process communication locally or over the network. A named pipe is usually found as a file and processes attach to it(Citation: Microsoft Named Pipes),2021-10-20T15:05:19.273Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--221adcd5-cccf-44df-9be6-ef607a6e1c3c,https://attack.mitre.org/datasources/DS0023
DS0037,Certificate,PRE,OSINT,"A digital document, which highlights information such as the owner's identity, used to instill trust in public keys used while encrypting network communications",2021-10-20T15:05:19.275Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--29aa4e0e-4a26-4f79-a9bc-1ae66df1c923,https://attack.mitre.org/datasources/DS0037
DS0005,WMI,Windows,Host,The infrastructure for management data and operations that enables local and remote management of Windows personal computers and servers(Citation: Microsoft WMI System Classes)(Citation: Microsoft WMI Architecture),2021-10-20T15:05:19.271Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--2cd6cc81-d86e-4595-a4f0-43f5519f14e6,https://attack.mitre.org/datasources/DS0005
DS0010,Cloud Storage,IaaS,Cloud Control Plane,"Data object storage infrastructure hosted on-premise or by third-party providers, made available to users through network connections and/or APIs(Citation: Amazon S3)(Citation: Azure Blob Storage)(Citation: Google Cloud Storage)",2021-10-20T15:05:19.272Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--2ce537a2-3b30-4374-9397-31d6460ec0bc,https://attack.mitre.org/datasources/DS0010
DS0035,Internet Scan,PRE,OSINT,Information obtained (commonly via active network traffic probes or web crawling) regarding various types of resources and servers connected to the public Internet,2021-10-20T15:05:19.275Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--38fe306c-bdec-4f3d-8521-b72dd32dbd17,https://attack.mitre.org/datasources/DS0035
DS0021,Persona,PRE,OSINT,A malicious online profile representing a user commonly used by adversaries to social engineer or otherwise target victims,2021-10-20T15:05:19.273Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--3bef4799-906c-409c-ac00-3fb7a1e352e6,https://attack.mitre.org/datasources/DS0021
DS0036,Group,IaaS | SaaS | Windows | Office Suite | Identity Provider,Cloud Control Plane | Host,A collection of multiple user accounts that share the same access rights to the computer and/or network resources and have common security rights(Citation: Amazon IAM Groups),2021-10-20T15:05:19.275Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--3c07684f-3794-4536-8f70-21efe700c0ec,https://attack.mitre.org/datasources/DS0036
DS0015,Application Log,IaaS | Linux | SaaS | Windows | macOS | Office Suite | ESXi,Cloud Control Plane | Host,"Events collected by third-party services such as mail servers, web applications, or other appliances (not by the native OS or platform)(Citation: Confluence Logs)",2021-10-20T15:05:19.272Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--40269753-26bd-437b-986e-159c66dec5e4,https://attack.mitre.org/datasources/DS0015
DS0028,Logon Session,IaaS | Linux | SaaS | Windows | macOS | Office Suite | Identity Provider | ESXi,Cloud Control Plane | Host | Network,"Logon occurring on a system or resource (local, domain, or cloud) to which a user/device is gaining access after successful authentication and authorization(Citation: Microsoft Audit Logon Events)",2021-10-20T15:05:19.274Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--4358c631-e253-4557-86df-f687d0ef9891,https://attack.mitre.org/datasources/DS0028
DS0030,Instance,IaaS,Cloud Control Plane,"A virtual server environment which runs workloads, hosted on-premise or by third-party cloud providers(Citation: Amazon VM)(Citation: Google VM)",2021-10-20T15:05:19.274Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--45232bc0-e858-440d-aa93-d48c6cf167f0,https://attack.mitre.org/datasources/DS0030
DS0013,Sensor Health,Linux | Windows | macOS | Android | iOS,Host,"Information from host telemetry providing insights about system status, errors, or other notable functional activity",2021-10-20T15:05:19.272Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--4523e7f3-8de2-4078-96f8-1227eb537159,https://attack.mitre.org/datasources/DS0013
DS0022,File,Linux | Network Devices | Windows | macOS | ESXi,Host,"A computer resource object, managed by the I/O system, for storing data (such as images, text, videos, computer programs, or any wide variety of other media).(Citation: Microsoft File Mgmt)",2021-10-20T15:05:19.273Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--509ed41e-ca42-461e-9058-24602256daf9,https://attack.mitre.org/datasources/DS0022
DS0016,Drive,Linux | Windows | macOS,Host,"A non-volatile data storage device (hard drive, floppy disk, USB flash drive) with at least one formatted partition, typically mounted to the file system and/or assigned a drive letter(Citation: Sysmon EID 9)",2021-10-20T15:05:19.272Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--61bbbf27-f7c3-46ba-a6bc-48ae76928065,https://attack.mitre.org/datasources/DS0016
DS0020,Snapshot,IaaS,Cloud Control Plane,"A point-in-time copy of cloud volumes (files, settings, etc.) that can be created and/or deployed in cloud environments(Citation: Microsoft Snapshot)(Citation: Amazon Snapshots)",2021-10-20T15:05:19.273Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--6d7de3b7-283d-48f9-909c-60d123d9d768,https://attack.mitre.org/datasources/DS0020
DS0017,Command,Containers | Linux | Network Devices | Windows | macOS | Android | iOS | ESXi,Container | Host,"A directive given to a computer program, acting as an interpreter of some kind, in order to perform a specific task(Citation: Confluence Linux Command Line)(Citation: Audit OSX)",2021-10-20T15:05:19.273Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--73691708-ffb5-4e29-906d-f485f6fa7089,https://attack.mitre.org/datasources/DS0017
DS0008,Kernel,Linux | macOS,Host,"A computer program, at the core of a computer OS, that resides in memory and facilitates interactions between hardware and software components(Citation: STIG Audit Kernel Modules)(Citation: Init Man Page)",2021-10-20T15:05:19.272Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--8765a845-dea1-4cd1-a56f-f54939b7ab9e,https://attack.mitre.org/datasources/DS0008
DS0027,Driver,Linux | Windows | macOS,Host,"A computer program that operates or controls a particular type of device that is attached to a computer. Provides a software interface to hardware devices, enabling operating systems and other computer programs to access hardware functions without needing to know precise details about the hardware being used(Citation: IOKit Fundamentals)(Citation: Windows Getting Started Drivers)",2021-10-20T15:05:19.274Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--9ec8c0d7-6137-456f-b829-c5f8b96ba054,https://attack.mitre.org/datasources/DS0027
DS0034,Volume,IaaS | Linux | Windows | macOS,Cloud Control Plane | Host,"Block object storage hosted on-premise or by third-party providers, typically made available to resources as virtualized hard drives(Citation: Amazon S3)(Citation: Azure Blob Storage)(Citation: Google Cloud Storage)",2021-10-20T15:05:19.275Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--b0b6d26f-3747-4444-ac7a-239a6ff80cb5,https://attack.mitre.org/datasources/DS0034
DS0025,Cloud Service,IaaS | SaaS | Office Suite | Identity Provider,Cloud Control Plane,"Infrastructure, platforms, or software that are hosted on-premise or by third-party providers, made available to users through network connections and/or APIs(Citation: Amazon AWS)(Citation: Azure Products)",2021-10-20T15:05:19.273Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--b1ddede4-cafe-4955-ac4c-14b33ac3f647,https://attack.mitre.org/datasources/DS0025
DS0004,Malware Repository,PRE,OSINT,"Information obtained (via shared or submitted samples) regarding malicious software (droppers, backdoors, etc.) used by adversaries",2021-10-20T15:05:19.271Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--b86d9b40-5fbe-4ef1-8dc3-263eff26f495,https://attack.mitre.org/datasources/DS0004
DS0033,Network Share,Linux | Windows | macOS,Host,"A storage resource (typically a folder or drive) made available from one host to others using network protocols, such as Server Message Block (SMB) or Network File System (NFS)(Citation: Microsoft NFS Overview)",2021-10-20T15:05:19.274Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--ba27545a-9c32-47ea-ba6a-cce50f1b326e,https://attack.mitre.org/datasources/DS0033
DS0029,Network Traffic,IaaS | Linux | Windows | macOS | Android | iOS | ESXi,Cloud Control Plane | Host | Network,"Data transmitted across a network (ex: Web, DNS, Mail, File, etc.), that is either summarized (ex: Netflow) and/or captured as raw data in an analyzable format (ex: PCAP)",2021-10-20T15:05:19.274Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--c000cd5c-bbb3-4606-af6f-6c6d9de0bbe3,https://attack.mitre.org/datasources/DS0029
DS0031,Cluster,Containers,Container,A set of containerized computing resources that are managed together but have separate nodes to execute various tasks and/or applications(Citation: Kube Cluster Admin)(Citation: Kube Cluster Info),2021-10-20T15:05:19.274Z,2025-04-18T15:23:44.367Z,x-mitre-data-source--c3af32ff-65c5-4ea8-912a-fb4a85197239,https://attack.mitre.org/datasources/DS0031
DS0003,Scheduled Job,Containers | Linux | Windows | macOS | ESXi,Container | Host,"Automated tasks that can be executed at a specific time or on a recurring schedule running in the background (ex: Cron daemon, task scheduler, BITS)(Citation: Microsoft Tasks)",2021-10-20T15:05:19.271Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--c9ddfb51-eb45-4e22-b614-44ac1caa7883,https://attack.mitre.org/datasources/DS0003
DS0001,Firmware,Linux | Windows | macOS,Host,"Computer software that provides low-level control for the hardware and device(s) of a host, such as BIOS or UEFI/EFI",2021-10-20T15:05:19.265Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--ca1cb239-ff6d-4f64-b9d7-41c8556a8b4f,https://attack.mitre.org/datasources/DS0001
DS0026,Active Directory,Windows | Identity Provider,Cloud Control Plane | Host,"A database and set of services that allows administrators to manage permissions, access to network resources, and stored data objects (user, group, application, or devices)(Citation: Microsoft AD DS Getting Started)",2021-10-20T15:05:19.274Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--d6188aac-17db-4861-845f-57c369f9b4c8,https://attack.mitre.org/datasources/DS0026
DS0019,Service,Linux | Windows | macOS | ESXi,Host,"A computer process that is configured to execute continuously in the background and perform system tasks, in some cases before any user has logged in(Citation: Microsoft Services)(Citation: Linux Services Run Levels)",2021-10-20T15:05:19.273Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--d710099e-df94-4be4-bf85-cabd30e912bb,https://attack.mitre.org/datasources/DS0019
DS0038,Domain Name,PRE,OSINT,Information obtained (commonly through registration or activity logs) regarding one or more IP addresses registered with human readable names (ex: mitre.org),2021-10-20T15:05:19.275Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--dd75f457-8dc0-4a24-9ae5-4b61c33af866,https://attack.mitre.org/datasources/DS0038
DS0009,Process,Linux | Windows | macOS | Android | iOS | ESXi,Host,"Instances of computer programs that are being executed by at least one thread. Processes have memory space for process executables, loaded modules (DLLs or shared libraries), and allocated memory regions containing everything from user input to application-specific data structures(Citation: Microsoft Processes and Threads)",2021-10-20T15:05:19.272Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--e8b8ede7-337b-4c0c-8c32-5c7872c1ee22,https://attack.mitre.org/datasources/DS0009
DS0018,Firewall,IaaS | Linux | SaaS | Windows | macOS | Office Suite | Identity Provider | ESXi,Cloud Control Plane | Host,"A network security system, running locally on an endpoint or remotely as a service (ex: cloud environment), that monitors and controls incoming/outgoing network traffic based on predefined rules(Citation: AWS Sec Groups VPC)",2021-10-20T15:05:19.273Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--f2f4f4bd-3455-400f-b2ee-104004df0f5b,https://attack.mitre.org/datasources/DS0018
DS0011,Module,Linux | Windows | macOS,Host,"Executable files consisting of one or more shared classes and interfaces, such as portable executable (PE) format binaries/dynamic link libraries (DLL), executable and linkable format (ELF) binaries/shared libraries, and Mach-O format binaries/shared libraries(Citation: Microsoft LoadLibrary)(Citation: Microsoft Module Class)",2021-10-20T15:05:19.272Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--f424e4b4-a8a4-4c58-a4ae-4f53bfd08563,https://attack.mitre.org/datasources/DS0011
DS0040,Operational Databases,,Host,"Operational databases contain information about the status of the operational process and associated devices, including any measurements, events, history, or alarms that have occurred",2022-05-11T16:22:58.802Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--1b8c9f31-ad35-4850-bf8c-80c565ad3552,https://attack.mitre.org/datasources/DS0040
DS0039,Asset,,Host,"Data sources with information about the set of devices found within the network, along with their current software and configurations",2022-05-11T16:22:58.802Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--b1717cb4-d536-4e2b-b5e5-07e67e26183c,https://attack.mitre.org/datasources/DS0039
DS0042,User Interface,Android | iOS,Device,Visual activity on the device that could alert the user to potentially malicious behavior.,2023-03-13T19:36:25.108Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--55ba7d30-887f-42c1-a24e-c4e90aff24b8,https://attack.mitre.org/datasources/DS0042
DS0041,Application Vetting,Android | iOS,Report,Application vetting report generated by an external cloud service.,2023-03-13T19:30:41.131Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--e156f007-c5bf-45cc-8dd5-d442ffb0d203,https://attack.mitre.org/datasources/DS0041
